"ID","sample weight","tray well","join_id","date"
"Lab_01",23.6,1,"A01","29/05/25"
"Lab_01",24,2,"A02","29/05/25"
"Lab_02",27.1,3,"A03","29/05/25"
"Lab_02",23.2,4,"A04","29/05/25"
"Lab_03",25.4,5,"A05","29/05/25"
"Lab_04",26.2,7,"A07","29/05/25"
"Lab_04",25.2,8,"A08","29/05/25"
"Lab_05",23.3,9,"A09","29/05/25"
"Lab_05",23.3,10,"A10","29/05/25"
"Lab_12",26.3,11,"A11","29/05/25"
"Lab_12",26.5,12,"A12","29/05/25"
"Lab_13",24.6,13,"B01","29/05/25"
"Lab_13",26.2,14,"B02","29/05/25"
"Lab_14",25.7,15,"B03","29/05/25"
"Lab_14",26.2,16,"B04","29/05/25"
"Lab_16",25.7,17,"B05","29/05/25"
"Lab_16",23.9,18,"B06","29/05/25"
"Lab_17",25.7,20,"B08","29/05/25"
"Lab_19",24.2,23,"B11","29/05/25"
"Lab_23",23.4,25,"C01","29/05/25"
"Lab_23",26.6,26,"C02","29/05/25"
"Lab_24",24.6,27,"C03","29/05/25"
"Lab_24",24.6,28,"C04","29/05/25"
"Lab_25",25.8,29,"C05","29/05/25"
"Lab_25",24.9,30,"C06","29/05/25"
"Lab_26",25.2,31,"C07","29/05/25"
"Lab_26",25.4,32,"C08","29/05/25"
"Lab_35",23.4,33,"C09","29/05/25"
"Lab_36",25,36,"C12","29/05/25"
"Lab_38",26,39,"D03","29/05/25"
"Lab_38",23.2,40,"D04","29/05/25"
"Lab_40",24.3,42,"D06","29/05/25"
"Lab_43",25.8,44,"D08","29/05/25"
"Lab_45",23.6,45,"D09","29/05/25"
"Lab_45",25.4,46,"D10","29/05/25"
"Lab_50",23.4,47,"D11","29/05/25"
"Lab_50",24.9,48,"D12","29/05/25"
"Lab_59",23.4,54,"E06","29/05/25"
"Lab_62",23.9,59,"E11","29/05/25"
"Lab_63",23.2,61,"F01","29/05/25"
"Lab_63",23.8,66,"F06","29/05/25"
"Lab_64",23.1,67,"F07","29/05/25"
"Lab_64",23.3,68,"F08","29/05/25"
"Lab_64",26.8,70,"F10","29/05/25"
"Lab_64",23,71,"F11","29/05/25"
"Lab_64",23.5,72,"F12","29/05/25"
"Fresh_1",94.3,73,"G01","29/05/25"
"BLANK_01",0,79,"G07","29/05/25"
"BLANK_02",0,80,"G08","29/05/25"
"BLANK_03",0,81,"G09","29/05/25"
